"Movie","N","mean","sd","N","M","SD"
"Star Wars: Episode IX - The Rise of Skywalker",61,57.2295081967213,16.5422624839359,418656,64.7121741955209,23.3749361274894
"Star Wars: Episode VIII - The Last Jedi",56,84.0892857142857,13.5381975243306,602045,66.5599249225556,24.4683124996907
"Star Wars: Episode VII - The Force Awakens",55,80.8,14.2418267658903,898767,77.6823247849555,19.6205423612761
"Star Wars: Episode VI - Return of the Jedi",24,63.7916666666667,25.2103828966777,1006122,82.5927472016317,15.49668886469
"Star Wars: Episode V - The Empire Strikes Back",25,83.52,20.7708128552223,1230844,85.9136007487545,16.3043477614109
"Star Wars: Episode IV - A New Hope",24,90.125,16.718416036892,1302317,84.983571588177,16.3722881606484
"Star Wars: Episode III - Revenge of the Sith",40,71.4,19.6596684636991,751751,76.087454489585,18.8239524477712
"Star Wars: Episode II - Attack of the Clones",39,60.2820512820513,21.9676181756942,678519,66.253163139131,20.1532853190964
"Star Wars: Episode I - The Phantom Menace",36,56.4444444444444,22.8641259174335,769435,65.2893226848272,20.3270702000812
